Oda_Sayisi,Brut,Net,Bulundugu_Kat,Bina_Yas,Isitma_Tipi,Kat_sayisi,Kullanim_Durumu,Ilce,Fiyat
2+1,100,90,6,16-20,Kombi Doğalgaz,6,Boş,Büyükçekmece,"5,000"
2+1,110,100,16,21 Ve Üzeri,Kombi Doğalgaz,17,Boş,Zeytinburnu,"12,000"
2+1,110,100,17,21 Ve Üzeri,Kombi Doğalgaz,19,Boş,Zeytinburnu,"12,000"
3+1,175,165,1,21 Ve Üzeri,Kombi Doğalgaz,2,Boş,Bakırköy,"27,000"
2+1,81,65,14,5-10,Merkezi (Pay Ölçer),19,Boş,Bağcılar,"11,500"
3+1,150,120,6,11-15,Merkezi (Pay Ölçer),15,Boş,Bağcılar,"18,000"
2+1,85,65,9,5-10,Merkezi (Pay Ölçer),10,Boş,Eyüpsultan,"12,000"
1+1,83,55,7,4,Merkezi (Pay Ölçer),30,Boş,Bağcılar,"10,500"
1+1,65,55,9,0 (Yeni),Merkezi Doğalgaz,16,Boş,Küçükçekmece,"12,000"
1+1,60,50,Yüksek Giriş,5-10,Kombi Doğalgaz,4,Boş,Bahçelievler,"10,000"
5+1,165,150,2,16-20,Kombi Doğalgaz,2,Boş,Beykoz,"3,000"
2+1,100,99,5,5-10,Kombi Doğalgaz,10,Boş,Beylikdüzü,"9,000"
1+1,70,69,5,4,Merkezi (Pay Ölçer),12,Boş,Esenyurt,"6,500"
1.5+1,75,74,4,11-15,Kombi Doğalgaz,4,Boş,Kağıthane,"6,500"
2+1,120,110,Bahçe Katı,5-10,Kombi Doğalgaz,2,Boş,Bakırköy,"30,000"
3+1,144,125,1,5-10,Kombi Doğalgaz,30,Boş,Esenyurt,"8,500"
2+1,85,80,Kot 1 (-1),21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Fatih,"10,000"
2+1,90,85,Yüksek Giriş,11-15,Kombi Doğalgaz,3,Boş,Beykoz,"8,000"
1+1,96,63,9,3,Merkezi (Pay Ölçer),15,Boş,Bakırköy - Ataköy 7-8-9,"18,500"
2+1,140,120,8,4,Merkezi (Pay Ölçer),30,Boş,Sarıyer,"40,000"
2+1,85,80,Bahçe Katı,11-15,Kombi Doğalgaz,4,Boş,Bağcılar,"6,500"
3+1,155,140,5,21 Ve Üzeri,Kombi Doğalgaz,9,Boş,Şişli,"25,000"
3+1,130,115,2,21 Ve Üzeri,Merkezi Doğalgaz,8,Boş,Bakırköy - Ataköy 7-8-9,"14,500"
2+1,75,70,Yüksek Giriş,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Fatih,"10,000"
Stüdyo,45,35,8,1,Merkezi (Pay Ölçer),11,Boş,Sarıyer,"15,000"
2+1,90,85,1,5-10,Kombi Doğalgaz,5,Boş,Beşiktaş,"13,000"
3+1,135,115,2,1,Merkezi (Pay Ölçer),7,Boş,Başakşehir,"14,000"
Stüdyo,45,40,2,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Beyoğlu,"11,000"
1+1,60,50,4,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Şişli,"10,000"
1+1,64,49,5,5-10,Kombi Doğalgaz,9,Kiracı Oturuyor,Sarıyer,"11,500"
3+1,135,115,4,21 Ve Üzeri,Merkezi Doğalgaz,5,Boş,Beşiktaş,"29,000"
2+1,110,70,7,3,Merkezi (Pay Ölçer),25,Boş,Kartal,"14,500"
3+1,130,115,3,21 Ve Üzeri,Kombi Doğalgaz,10,Boş,Ataşehir,"15,000"
1+1,70,65,Çatı Katı,5-10,Kombi Doğalgaz,4,Boş,Şişli,"12,750"
1+1,85,75,23,0 (Yeni),Kombi Doğalgaz,31,Boş,Avcılar,"15,000"
1+1,65,55,Düz Giriş,4,Kombi Doğalgaz,3,Boş,Şile,"5,250"
1+1,95,70,17,4,Yerden Isıtma,24,Boş,Sarıyer,"35,000"
1+1,85,65,7,5-10,Merkezi (Pay Ölçer),20,Boş,Sarıyer,"24,000"
1+1,62,58,11,5-10,Kombi Doğalgaz,12,Boş,Esenyurt,"8,000"
4+1,241,220,6,5-10,Kombi Doğalgaz,6,Boş,Başakşehir,"25,000"
2+1,120,115,26,1,Merkezi (Pay Ölçer),30,Boş,Esenyurt,"11,500"
3+1,155,145,Bahçe Dublex,11-15,Kombi Doğalgaz,4,Boş,Şişli,"17,000"
1+1,87,74,29,5-10,Merkezi (Pay Ölçer),30,Boş,Esenyurt,"7,500"
3+1,130,120,2,11-15,Kombi Doğalgaz,6,Boş,Şişli,"25,000"
4+1,200,190,Müstakil,5-10,Merkezi Doğalgaz,2,Mülk Sahibi Oturuyor,Arnavutköy,"25,000"
1+1,94,65,20,5-10,Merkezi (Pay Ölçer),36,Kiracı Oturuyor,Esenyurt,"5,500"
2+1,100,90,1,16-20,Kombi Doğalgaz,5,Boş,Bahçelievler,"9,000"
2+1,150,120,7,5-10,Merkezi (Pay Ölçer),18,Boş,Başakşehir,"15,750"
Stüdyo,45,35,4,1,Merkezi (Pay Ölçer),14,Boş,Kağıthane,"17,000"
1+1,65,55,Yüksek Giriş,11-15,Kombi Doğalgaz,4,Boş,Şişli,"8,500"
2+1,120,100,Düz Giriş,16-20,Sobalı,4,Boş,Ataşehir,"3,750"
Stüdyo,48,35,4,2,Merkezi (Pay Ölçer),15,Boş,Kağıthane,"18,000"
3+1,106,105,2,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Şişli,"18,000"
3+1,168,136,10,1,Kombi Doğalgaz,19,Boş,Avcılar,"30,000"
4+1,230,220,Bahçe Katı,11-15,Kombi Doğalgaz,8,Boş,Büyükçekmece,"25,000"
2+1,100,85,Bahçe Katı,16-20,Kombi Doğalgaz,3,Boş,Şile,"8,000"
2+1,130,110,4,4,Merkezi (Pay Ölçer),4,Boş,Sarıyer,"37,500"
1+1,75,60,8,1,Kombi Doğalgaz,15,Boş,Esenyurt,"13,000"
3+1,120,105,3,5-10,Kombi Doğalgaz,5,Boş,Maltepe,"10,000"
1+1,93,80,17,5-10,Kombi Doğalgaz,18,Kiracı Oturuyor,Küçükçekmece,"13,000"
5+1,350,349,Düz Giriş,21 Ve Üzeri,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Büyükçekmece,"45,000"
3+1,145,135,3,21 Ve Üzeri,Merkezi Doğalgaz,3,Mülk Sahibi Oturuyor,Bakırköy - Ataköy 2-5,"30,000"
5+1,520,375,Düz Giriş,11-15,Kombi Doğalgaz,3,Boş,Beylikdüzü,"25,000"
2+1,75,70,4,11-15,Kombi Doğalgaz,11,Boş,Küçükçekmece,"10,000"
2+1,95,85,4,0 (Yeni),Merkezi (Pay Ölçer),15,Boş,Zeytinburnu,"20,000"
4+1,300,280,Düz Giriş,11-15,Kombi Doğalgaz,3,Boş,Beylikdüzü,"29,000"
1+1,65,55,2,5-10,Kombi Doğalgaz,4,Boş,Ataşehir,"9,000"
3+1,175,134,16,2,Merkezi (Pay Ölçer),27,Boş,Başakşehir,"26,000"
2+1,110,90,6,21 Ve Üzeri,Merkezi Doğalgaz,14,Boş,Bakırköy - Ataköy 2-5,"17,500"
1+1,87,77,14,5-10,Merkezi (Pay Ölçer),30,Boş,Esenyurt,"15,000"
2+1,125,110,Bahçe Katı,4,Kombi Doğalgaz,4,Boş,Ataşehir,"10,000"
3+1,175,150,8,5-10,Kombi Doğalgaz,12,Boş,Başakşehir,"15,000"
3+1,125,95,6,3,Merkezi (Pay Ölçer),11,Boş,Kadıköy,"22,000"
1+1,60,55,8,21 Ve Üzeri,Merkezi Doğalgaz,16,Boş,Küçükçekmece,"8,000"
1+1,75,60,21,1,Merkezi (Pay Ölçer),30,Boş,Bağcılar,"12,500"
2+1,85,80,Yüksek Giriş,5-10,Merkezi (Pay Ölçer),10,Boş,Başakşehir,"11,500"
2+1,85,72,9,5-10,Merkezi Doğalgaz,10,Boş,Esenyurt,"7,500"
2+1,128,80,12,5-10,Merkezi (Pay Ölçer),30,Boş,Kartal,"13,000"
1+1,100,80,21,2,Merkezi (Pay Ölçer),30,Boş,Şişli,"35,000"
3+1,160,145,4,21 Ve Üzeri,Kombi Doğalgaz,6,Boş,Avcılar,"9,000"
1+1,95,90,Bahçe Katı,11-15,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Beylikdüzü,"6,750"
2+1,90,81,3,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Fatih,"9,000"
1+1,65,55,4,5-10,Kombi Doğalgaz,5,Boş,Sancaktepe,"9,500"
1+1,68,33,Bahçe Katı,3,Merkezi (Pay Ölçer),17,Boş,Zeytinburnu,"11,000"
2+1,100,95,1,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Bahçelievler,"9,000"
1+1,75,50,Bahçe Katı,5-10,Merkezi (Pay Ölçer),12,Boş,Esenyurt,"10,000"
1+1,70,63,28,5-10,Kombi Doğalgaz,30,Boş,Esenyurt,"7,000"
3+1,128,100,14,5-10,Merkezi (Pay Ölçer),30,Boş,Sarıyer,"28,000"
1+1,80,65,5,4,Kombi Doğalgaz,5,Boş,Çekmeköy,"7,500"
1+1,86,58,14,5-10,Yerden Isıtma,20,Boş,Sarıyer,"20,000"
1+1,70,55,13,5-10,Merkezi (Pay Ölçer),20,Boş,Sarıyer,"18,000"
1+1,65,50,15,1,Merkezi (Pay Ölçer),17,Boş,Sarıyer,"18,000"
1+1,81,55,9,5-10,Yerden Isıtma,19,Boş,Sarıyer,"22,500"
2+1,178,135,8,5-10,Merkezi (Pay Ölçer),30,Boş,Avcılar,"20,000"
2+1,85,75,Düz Giriş,5-10,Kombi Doğalgaz,5,Boş,Şişli,"24,000"
3+1,152,141,4,11-15,Kombi Doğalgaz,8,Mülk Sahibi Oturuyor,Maltepe,"19,500"
2+1,90,85,1,21 Ve Üzeri,Kombi Doğalgaz,5,Kiracı Oturuyor,Bahçelievler,"8,000"
1+1,80,70,2,21 Ve Üzeri,Kombi Doğalgaz,3,Boş,Avcılar,"7,000"
2+1,85,80,1,11-15,Kombi Doğalgaz,4,Boş,Büyükçekmece,"4,000"
1+1,87,64,12,5-10,Merkezi (Pay Ölçer),30,Boş,Sarıyer,"22,000"
2+1,115,85,Düz Giriş,2,Merkezi (Pay Ölçer),13,Boş,Sarıyer,"34,000"
3+1,160,130,13,2,Merkezi (Pay Ölçer),13,Boş,Sarıyer,"44,500"
3+1,120,100,Müstakil,16-20,Kombi Doğalgaz,1,Boş,Sarıyer,"10,000"
2+1,90,80,Bahçe Katı,3,Kombi Doğalgaz,5,Boş,Bahçelievler,"7,000"
3+1,120,110,4,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Bahçelievler,"10,000"
1+1,73,54,13,1,Merkezi Doğalgaz,15,Boş,Bakırköy - Ataköy 7-8-9,"20,000"
Stüdyo,60,50,2,11-15,Merkezi Doğalgaz,15,Boş,Esenyurt,"5,000"
2+1,120,105,20,5-10,Merkezi Doğalgaz,29,Boş,Esenyurt,"8,500"
1+1,76,70,16,5-10,Merkezi (Pay Ölçer),18,Kiracı Oturuyor,Küçükçekmece,"12,500"
4+1,194,170,6,5-10,Kombi Doğalgaz,8,Boş,Başakşehir,"24,500"
2+1,95,85,9,5-10,Merkezi (Pay Ölçer),16,Boş,Bayrampaşa,"18,500"
1+1,60,55,7,5-10,Merkezi (Pay Ölçer),13,Boş,Bayrampaşa,"10,000"
1+1,70,60,7,5-10,Merkezi (Pay Ölçer),18,Boş,Bayrampaşa,"15,000"
4+1,160,130,3,11-15,Kombi Doğalgaz,4,Boş,Kartal,"11,000"
4+1,138,120,Bahçe Katı,5-10,Kombi Doğalgaz,3,Boş,Beykoz,"16,000"
1+1,75,70,Tam Bodrum,16-20,Kombi Doğalgaz,4,Boş,Sarıyer,"14,000"
2+1,85,70,4,5-10,Merkezi (Pay Ölçer),10,Boş,Başakşehir,"11,000"
2+1,90,85,8,4,Merkezi (Pay Ölçer),12,Boş,Başakşehir,"17,000"
2+1,110,100,1,16-20,Kombi Doğalgaz,5,Boş,Bahçelievler,"16,000"
2+1,86,70,2,4,Merkezi (Pay Ölçer),11,Boş,Büyükçekmece,"9,500"
1+1,75,55,7,2,Merkezi Doğalgaz,22,Boş,Bağcılar,"10,000"
2+1,95,85,Yarı Bodrum,0 (Yeni),Kombi Doğalgaz,5,Boş,Bayrampaşa,"10,000"
2+1,90,80,Bahçe Katı,16-20,Kombi Doğalgaz,5,Boş,Bağcılar,"6,200"
1 Oda,55,50,2,4,Klimalı,3,Boş,Esenyurt,"3,000"
1+1,80,65,5,4,Kombi Doğalgaz,5,Boş,Çekmeköy,"7,500"
3+1,125,115,5,21 Ve Üzeri,Doğalgaz Sobalı,5,Boş,Bahçelievler,"7,500"
3+1,180,160,3,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Avcılar,"12,000"
2+1,90,87,2,16-20,Kombi Doğalgaz,3,Boş,Küçükçekmece,"7,000"
3+1,135,130,4,11-15,Kombi Doğalgaz,4,Boş,Tuzla,"10,000"
2+1,90,75,3,21 Ve Üzeri,Isıtma Yok,4,Boş,Büyükçekmece,"8,500"
2+1,90,80,Düz Giriş,11-15,Doğalgaz Sobalı,5,Boş,Sultangazi,"5,000"
1+1,90,70,21,5-10,Merkezi (Pay Ölçer),35,Boş,Şişli,"25,000"
3+1,125,100,2,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Bahçelievler,"8,500"
1+1,60,50,3,5-10,Merkezi (Pay Ölçer),11,Boş,Sancaktepe,"10,500"
2+1,95,85,2,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Bahçelievler,"9,000"
2+1,108,84,2,5-10,Yerden Isıtma,17,Mülk Sahibi Oturuyor,Kağıthane,"18,500"
2+1,220,200,5,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Kağıthane,"20,000"
1+1,95,61,36,2,Yerden Isıtma,36,Boş,Şişli,"40,000"
1+1,84,65,4,5-10,Yerden Isıtma,15,Boş,Sarıyer,"25,000"
2+1,75,70,2,5-10,Yerden Isıtma,3,Mülk Sahibi Oturuyor,Kağıthane,"14,500"
1+1,69,40,10,5-10,Merkezi (Pay Ölçer),12,Boş,Kağıthane,"10,000"
3+1,170,130,11,5-10,Merkezi (Pay Ölçer),30,Boş,Sarıyer,"36,000"
1+1,75,55,15,1,Merkezi (Pay Ölçer),17,Boş,Sarıyer,"18,000"
3+1,122,105,3,5-10,Merkezi (Pay Ölçer),7,Mülk Sahibi Oturuyor,Başakşehir,"10,000"
3+1,160,140,Düz Giriş,11-15,Kombi Doğalgaz,2,Boş,Şile,"8,800"
2+1,117,92,4,5-10,Merkezi (Pay Ölçer),8,Boş,Başakşehir,"18,000"
1+1,70,55,Düz Giriş,21 Ve Üzeri,Sobalı,1,Boş,Maltepe,"4,500"
2+1,115,105,1,21 Ve Üzeri,Kombi Doğalgaz,6,Boş,Arnavutköy,"12,000"
2+1,100,90,2,5-10,Kombi Doğalgaz,6,Boş,Kağıthane,"12,000"
2+1,95,90,3,0 (Yeni),Kombi Doğalgaz,4,Boş,Avcılar,"8,000"
2.5+1,100,90,Bahçe Katı,16-20,Kombi Doğalgaz,4,Boş,Küçükçekmece,"7,500"
1+1,70,60,3,21 Ve Üzeri,Kombi Doğalgaz,3,Boş,Üsküdar,"9,750"
1+1,65,53,Yüksek Giriş,0 (Yeni),Kombi Doğalgaz,4,Boş,Kartal,"7,000"
5+1,1.000,450,Düz Giriş,5-10,Kombi Doğalgaz,2,Boş,Silivri,"20,000"
1+1,60,55,2,11-15,Kombi Doğalgaz,6,Boş,Şişli,"11,950"
Stüdyo,57,50,5,1,Merkezi (Pay Ölçer),29,Boş,Kartal,"9,000"
4+1,232,215,1,5-10,Kombi Doğalgaz,6,Boş,Başakşehir,"27,000"
2+1,140,100,10,1,Merkezi (Pay Ölçer),27,Boş,Başakşehir,"11,000"
1+1,78,75,5,5-10,Merkezi (Pay Ölçer),10,Boş,Başakşehir,"10,000"
2+1,90,75,Yüksek Giriş,5-10,Merkezi (Pay Ölçer),15,Boş,Esenyurt,"8,350"
2+1,120,110,5,21 Ve Üzeri,Doğalgaz Sobalı,5,Boş,Küçükçekmece,"5,750"
2+1,80,75,Çatı Katı,11-15,Kombi Doğalgaz,3,Boş,Eyüpsultan,"8,000"
3+1,116,90,1,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Tuzla,"8,500"
3+1,110,105,4,16-20,Kombi Doğalgaz,4,Boş,Küçükçekmece,"7,250"
2+1,145,102,3,2,Yerden Isıtma,15,Mülk Sahibi Oturuyor,Sarıyer,"40,000"
2+1,75,65,Kot 1 (-1),5-10,Kombi Doğalgaz,3,Boş,Kağıthane,"11,000"
4+1,230,200,1,4,Merkezi (Pay Ölçer),10,Boş,Başakşehir,"45,000"
2+1,140,86,21,0 (Yeni),Merkezi (Pay Ölçer),45,Boş,Esenyurt,"45,000"
2+1,100,90,11,0 (Yeni),Kombi Doğalgaz,25,Boş,Avcılar,"18,000"
2+1,110,95,Bahçe Katı,5-10,Merkezi Doğalgaz,4,Kiracı Oturuyor,Esenyurt,"4,000"
2+1,100,90,18,4,Merkezi (Pay Ölçer),20,Boş,Başakşehir,"25,000"
2+1,80,75,2,0 (Yeni),Kombi Doğalgaz,10,Boş,Tuzla,"6,200"
3+1,130,110,1,5-10,Kombi Doğalgaz,6,Boş,Büyükçekmece,"15,000"
1+1,86,74,3,21 Ve Üzeri,Merkezi Doğalgaz,3,Boş,Bakırköy - Ataköy 7-8-9,"15,500"
2+1,80,70,Yüksek Giriş,5-10,Kombi Doğalgaz,5,Kiracı Oturuyor,Kağıthane,"15,000"
1+1,95,75,4,21 Ve Üzeri,Kombi Doğalgaz,6,Boş,Şişli,"15,000"
2+1,125,100,18,5-10,Merkezi (Pay Ölçer),18,Boş,Bayrampaşa,"17,000"
2+1,105,95,7,3,Kombi Doğalgaz,9,Boş,Kadıköy,"23,000"
1+1,90,65,30-40,1,Merkezi (Pay Ölçer),30,Boş,Ataşehir,"25,000"
3+1,145,135,8,11-15,Kombi Doğalgaz,9,Boş,Beylikdüzü,"12,000"
Stüdyo,34,15,2,11-15,Merkezi Doğalgaz,6,Boş,Beyoğlu,"6,000"
2+1,105,85,4,5-10,Merkezi (Pay Ölçer),9,Boş,Başakşehir,"15,000"
2+1,123,80,18,5-10,Merkezi (Pay Ölçer),29,Boş,Maltepe,"28,000"
1+1,70,48,10,2,Merkezi (Pay Ölçer),22,Boş,Başakşehir,"7,000"
1+1,70,50,9,4,Merkezi (Pay Ölçer),22,Boş,Başakşehir,"8,000"
2+1,110,100,17,5-10,Kombi Doğalgaz,22,Boş,Esenyurt,"8,000"
1+1,70,60,5,3,Kombi Doğalgaz,5,Boş,Maltepe,"7,500"
2+1,90,80,Düz Giriş,5-10,Kombi Doğalgaz,5,Boş,Maltepe,"8,200"
2+1,140,130,Düz Giriş,16-20,Kombi Doğalgaz,2,Boş,Üsküdar,"24,000"
4+1,160,130,Düz Giriş,11-15,Kombi Doğalgaz,1,Mülk Sahibi Oturuyor,Sultanbeyli,"9,500"
2+1,132,115,9,4,Yerden Isıtma,13,Boş,Büyükçekmece,"9,500"
3+1,150,100,5,4,Merkezi (Pay Ölçer),15,Boş,Başakşehir,"17,000"
1+1,75,70,12,5-10,Kombi Doğalgaz,13,Boş,Avcılar,"10,000"
3+1,140,120,4,11-15,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Kartal,"18,000"
1+1,60,50,9,11-15,Merkezi Doğalgaz,12,Boş,Küçükçekmece,"9,000"
3+1,110,100,Bahçe Katı,2,Kombi Doğalgaz,4,Boş,Başakşehir,"6,500"
1+1,70,60,12,5-10,Isıtma Yok,18,Boş,Sarıyer,"35,000"
1+1,60,50,4,1,Kombi Doğalgaz,4,Boş,Ataşehir,"12,500"
1+1,72,65,13,4,Merkezi (Pay Ölçer),17,Boş,Esenyurt,"6,000"
2+1,100,90,3,11-15,Kombi Doğalgaz,4,Boş,Şile,"9,000"
2+1,115,105,6,21 Ve Üzeri,Kombi Doğalgaz,7,Boş,Şişli,"15,000"
2+1,120,110,4,16-20,Kombi Doğalgaz,5,Boş,Büyükçekmece,"5,800"
4+1,180,170,4,5-10,Kombi Doğalgaz,12,Boş,Çekmeköy,"16,000"
3+1,154,136,15,16-20,Kombi Doğalgaz,15,Boş,Beylikdüzü,"15,000"
2+1,100,90,2,16-20,Kombi Doğalgaz,4,Boş,Şile,"6,000"
1+1,55,50,3,5-10,Kombi Doğalgaz,15,Boş,Beylikdüzü,"8,000"
3+1,160,120,4,21 Ve Üzeri,Merkezi Doğalgaz,8,Boş,Kadıköy,"12,500"
1+1,100,85,7,4,Merkezi (Pay Ölçer),30,Boş,Esenyurt,"6,000"
2+0,75,65,Müstakil,21 Ve Üzeri,Kombi Doğalgaz,2,Boş,Fatih,"15,000"
3+1,140,130,9,4,Kombi Doğalgaz,11,Boş,Esenyurt,"8,500"
2+1,114,100,10,5-10,Merkezi (Pay Ölçer),15,Boş,Küçükçekmece,"10,000"
4+1,192,179,7,11-15,Merkezi (Pay Ölçer),16,Mülk Sahibi Oturuyor,Küçükçekmece,"23,000"
4+1,211,145,1,4,Merkezi (Pay Ölçer),11,Mülk Sahibi Oturuyor,Başakşehir,"40,000"
1+1,65,64,Düz Giriş,11-15,Kombi Doğalgaz,10,Boş,Kadıköy,"12,000"
2+1,80,70,2,5-10,Kombi Doğalgaz,5,Boş,Kağıthane,"10,000"
3+1,110,100,5,4,Kombi Doğalgaz,5,Boş,Çekmeköy,"10,000"
3+1,195,180,Düz Giriş,5-10,Kombi Doğalgaz,4,Boş,Beylikdüzü,"25,000"
3+1,195,180,Düz Giriş,5-10,Kombi Doğalgaz,4,Boş,Beylikdüzü,"25,000"
3+1,150,140,2,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Kağıthane,"16,500"
3+1,120,105,1,21 Ve Üzeri,Kombi Doğalgaz,15,Boş,Büyükçekmece,"9,000"
2+1,85,65,9,5-10,Merkezi (Pay Ölçer),10,Boş,Eyüpsultan,"12,000"
2+1,120,100,Yüksek Giriş,2,Merkezi Doğalgaz,5,Boş,Beylikdüzü,"10,000"
2+1,100,90,Bahçe Katı,11-15,Kombi Doğalgaz,4,Boş,Şile,"8,250"
3+1,150,135,6,11-15,Merkezi Doğalgaz,10,Mülk Sahibi Oturuyor,Esenyurt,"10,000"
3+1,130,120,Villa Tipi,16-20,Kombi Doğalgaz,2,Boş,Şile,"8,000"
1+1,70,50,11,2,Merkezi (Pay Ölçer),25,Boş,Kadıköy,"17,000"
3+1,140,125,1,5-10,Kombi Doğalgaz,5,Boş,Beylikdüzü,"10,000"
3+1,140,136,15,16-20,Merkezi Doğalgaz,15,Boş,Beylikdüzü,"15,000"
3+1,168,136,10,1,Kombi Doğalgaz,19,Boş,Avcılar,"35,000"
3+1,155,150,5,21 Ve Üzeri,Kombi Doğalgaz,6,Boş,Beykoz,"5,000"
4+1,140,130,3,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Fatih,"12,500"
1+1,40,35,Müstakil,0 (Yeni),Kombi Doğalgaz,1,Boş,Sarıyer,"9,000"
2+1,95,80,Düz Giriş,2,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Bakırköy,"30,000"
2+1,120,80,12,2,Merkezi (Pay Ölçer),23,Mülk Sahibi Oturuyor,Kartal,"18,250"
5+2,360,330,Bahçe Katı,11-15,Kombi Doğalgaz,4,Boş,Başakşehir,"40,000"
2+1,115,95,6,21 Ve Üzeri,Kombi Doğalgaz,6,Boş,Küçükçekmece,"8,000"
1+1,55,50,Düz Giriş,5-10,Kombi Doğalgaz,4,Boş,Ataşehir,"8,000"
2+1,120,100,Villa Tipi,11-15,Kombi Doğalgaz,2,Boş,Şile,"7,900"
1 Oda,55,50,2,5-10,Kombi Doğalgaz,5,Boş,Avcılar,"3,500"
2+1,120,110,3,11-15,Kombi Doğalgaz,5,Kiracı Oturuyor,Şişli,"14,000"
2+1,100,85,4,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Bahçelievler,"8,500"
2+1,130,120,4,4,Kombi Doğalgaz,6,Kiracı Oturuyor,Esenyurt,"10,000"
3+1,140,130,1,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Bahçelievler,"12,000"
2+1,95,90,1,4,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Esenyurt,"6,500"
2+1,85,80,2,21 Ve Üzeri,Kombi Doğalgaz,3,Boş,Büyükçekmece,"10,000"
2+1,95,85,5,5-10,Kombi Doğalgaz,5,Boş,Sultangazi,"8,000"
4+1,180,160,Çatı Dubleks,5-10,Kombi Doğalgaz,3,Boş,Zeytinburnu,"18,000"
3+1,100,95,3,21 Ve Üzeri,Yerden Isıtma,5,Boş,Tuzla,"6,500"
2+1,80,70,1,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Beykoz,"15,000"
3+1,120,105,1,21 Ve Üzeri,Kombi Doğalgaz,10,Boş,Büyükçekmece,"9,000"
2+1,130,120,Bahçe Dublex,3,Kombi Doğalgaz,4,Boş,Küçükçekmece,"13,000"
3+1,160,150,1,4,Kombi Doğalgaz,4,Boş,Avcılar,"11,000"
2+1,110,90,12,1,Merkezi (Pay Ölçer),16,Boş,Kağıthane,"18,750"
2+1,90,85,2,4,Kombi Doğalgaz,5,Boş,Kağıthane,"9,500"
2+1,75,70,Yüksek Giriş,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Fatih,"10,000"
2+1,75,70,Yüksek Giriş,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Fatih,"10,000"
1+1,69,53,3,2,Yerden Isıtma,14,Boş,Sarıyer,"30,000"
1+1,80,70,5,2,Kombi Doğalgaz,6,Boş,Küçükçekmece,"11,000"
2+1,100,80,5,1,Kombi Doğalgaz,5,Boş,Beyoğlu,"13,000"
2+1,130,110,4,4,Merkezi (Pay Ölçer),10,Boş,Kağıthane,"32,000"
1+1,85,75,7,5-10,Merkezi (Pay Ölçer),25,Boş,Esenyurt,"6,000"
4+1,180,140,Düz Giriş,4,Merkezi (Pay Ölçer),5,Mülk Sahibi Oturuyor,Başakşehir,"27,000"
5+1,397,320,Villa Tipi,16-20,Kombi Doğalgaz,4,Boş,Tuzla,"19,500"
2+1,100,95,2,16-20,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Avcılar,"9,000"
4+2,270,240,Müstakil,21 Ve Üzeri,Merkezi Doğalgaz,4,Boş,Beykoz,"27,000"
2+1,100,96,8,5-10,Merkezi (Pay Ölçer),8,Boş,Pendik,"15,000"
2+1,85,75,2,4,Kombi Doğalgaz,20,Boş,Kağıthane,"14,500"
Stüdyo,50,45,Düz Giriş,16-20,Kombi Doğalgaz,4,Boş,Şişli,"8,000"
3+1,125,120,2,11-15,Kombi Doğalgaz,6,Boş,Silivri,"6,500"
2+1,85,80,2,21 Ve Üzeri,Kombi Doğalgaz,6,Kiracı Oturuyor,Şişli,"16,000"
3+1,135,115,2,21 Ve Üzeri,Merkezi Doğalgaz,5,Boş,Kadıköy,"15,000"
1+1,75,55,12,4,Merkezi (Pay Ölçer),20,Boş,Sarıyer,"25,000"
1+1,75,65,9,5-10,Merkezi (Pay Ölçer),28,Boş,Küçükçekmece,"12,500"
2+1,85,75,8,5-10,Merkezi (Pay Ölçer),9,Boş,Başakşehir,"13,000"
3+1,135,115,3,11-15,Kombi Doğalgaz,4,Boş,Kadıköy,"15,000"
1+1,70,50,11,2,Merkezi (Pay Ölçer),24,Boş,Kadıköy,"17,000"
Stüdyo,25,20,Yarı Bodrum,4,Klimalı,4,Boş,Fatih,"4,000"
2+1,85,75,2,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Büyükçekmece,"7,500"
4+2,320,300,Müstakil,5-10,Kombi Doğalgaz,2,Boş,Büyükçekmece,"16,000"
