Oda_Sayisi,Brut,Net,Bulundugu_Kat,Bina_Yas,Isitma_Tipi,Kat_sayisi,Kullanim_Durumu,Ilce,Fiyat
3+1,110,105,7,21 Ve Üzeri,Merkezi Doğalgaz,11,Mülk Sahibi Oturuyor,Bahçelievler,"14,000"
2+1,95,85,3,21 Ve Üzeri,Kombi Doğalgaz,6,Boş,Kartal,"10,000"
1+1,60,45,4,4,Merkezi (Pay Ölçer),15,Boş,Kağıthane,"17,500"
1+1,60,50,2,11-15,Kombi Doğalgaz,6,Boş,Kağıthane,"9,250"
2+1,104,80,6,5-10,Merkezi (Pay Ölçer),18,Boş,Zeytinburnu,"20,000"
2+1,110,90,6,21 Ve Üzeri,Kombi Doğalgaz,6,Mülk Sahibi Oturuyor,Bağcılar,"10,000"
2+1,130,125,3,11-15,Kombi Doğalgaz,3,Boş,Bakırköy,"15,000"
2+1,116,100,Bahçe Katı,11-15,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Küçükçekmece,"6,000"
3+1,125,115,2,5-10,Kombi Doğalgaz,7,Boş,Kağıthane,"15,500"
1+1,92,55,10,5-10,Merkezi (Pay Ölçer),25,Boş,Gaziosmanpaşa,"24,000"
1+1,55,30,13,5-10,Merkezi Doğalgaz,15,Boş,Kağıthane,"12,500"
Stüdyo,55,25,Yüksek Giriş,5-10,Merkezi Doğalgaz,15,Boş,Kağıthane,"10,000"
1+1,80,70,Kot 2 (-2),3,Kombi Doğalgaz,4,Boş,Beylikdüzü,"8,500"
4+1,300,190,Bahçe Dublex,5-10,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Sarıyer,"41,500"
3+1,120,110,3,21 Ve Üzeri,Kombi Doğalgaz,3,Boş,Maltepe,"9,500"
Stüdyo,40,35,Düz Giriş,21 Ve Üzeri,Isıtma Yok,5,Boş,Bahçelievler,"4,000"
2+1,95,90,Çatı Dubleks,5-10,Kombi Doğalgaz,3,Boş,Maltepe,"10,000"
2+1,160,150,6,5-10,Kombi Doğalgaz,14,Boş,Beylikdüzü,"18,500"
2+1,110,100,Bahçe Katı,5-10,Kombi Doğalgaz,4,Boş,Şişli,"28,000"
3+1,145,135,3,4,Kombi Doğalgaz,4,Boş,Kağıthane,"19,750"
2+1,130,110,Bahçe Katı,1,Merkezi (Pay Ölçer),17,Boş,Kağıthane,"35,000"
3+1,150,120,Bahçe Katı,5-10,Kombi Doğalgaz,5,Boş,Çekmeköy,"7,500"
1+1,75,74,6,4,Klimalı,8,Boş,Kadıköy,"10,000"
2+1,130,100,8,1,Merkezi (Pay Ölçer),17,Boş,Sarıyer,"35,000"
3+1,140,120,1,21 Ve Üzeri,Merkezi Doğalgaz,4,Kiracı Oturuyor,Avcılar,"7,000"
3+1,140,125,3,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Bahçelievler,"9,000"
1+1,85,65,20,4,Merkezi Doğalgaz,32,Boş,Sarıyer,"25,000"
