0,1,2,3,4,5,6,7,8,9,10
2 + 1,100,90,10,35,Merkezi,14,Eşyalı Değil,Mülk Sahibi,Bakırköy,"18,000"
5 + 1,210,170,5,4,Kombi,5,Eşyalı Değil,Boş,Eyüpsultan,"16,000"
3 + 1,105,85,Ara Kat,3,Merkezi (Pay Ölçer),9,Eşyalı,Boş,Pendik,"8,500"
3 + 1,135,130,1,25,Kombi,3,Eşyalı Değil,Boş,Beykoz,"5,000"
3 + 1,165,150,4,30,Kombi,5,Eşyalı Değil,Mülk Sahibi,Ataşehir,"6,500"
2 + 1,80,70,Bodrum,45,Kombi,5,Eşyalı,Boş,Bakırköy,"6,500"
1 + 1,63,41,7,9,VRV,35,Eşyalı Değil,Boş,Maltepe,"10,000"
2 + 1,145,140,Yüksek Giriş,20,Kombi,3,Eşyalı Değil,Boş,Beykoz,"8,000"
1 + 1,55,50,2,Sıfır Bina,Kombi,3,Uygun değil,"Güney, Batı",Gaziosmanpaşa,"9,500"
1 + 1,105,76,Giriş Katı,15,Kombi,6,Eşyalı,Boş,Beşiktaş,"25,000"
2 + 1,98,90,1,10,Merkezi (Pay Ölçer),5,Eşyalı Değil,Boş,Sancaktepe,"9,500"
3 + 1,160,140,2,20,Kombi,5,Eşyalı Değil,Boş,Maltepe,"12,000"
3 + 1,155,150,6,25,Kombi,7,Eşyalı Değil,Boş,Beşiktaş,"22,500"
2 + 1,85,84,2,13,Kombi,14,Eşyalı Değil,Boş,Küçükçekmece,"8,250"
4 + 1,187,150,5,14,Kombi,11,Eşyalı Değil,Boş,Küçükçekmece,"21,000"
3 + 1,133,115,Ara Kat,Sıfır Bina,Merkezi (Pay Ölçer),5,Eşyalı Değil,Boş,Silivri,"5,000"
2 + 1,85,80,2,40,Kombi,4,Eşyalı Değil,Boş,Fatih,"8,000"
3 + 1,160,140,Ara Kat,25,Kombi,5,Eşyalı Değil,Boş,Tuzla,"12,000"
1 + 1,70,60,2,3,Kombi,4,Eşyalı Değil,Boş,Zeytinburnu,"7,500"
2 + 1,117,80,21 ve üzeri,8,Merkezi (Pay Ölçer),33,Eşyalı,Boş,Sarıyer,"25,000"
1 + 1,81,68,4,2,Merkezi (Pay Ölçer),9,Eşyalı,Boş,Beyoğlu,"24,000"
3 + 1,160,140,9,22,Kat Kaloriferi,12,Eşyalı Değil,Boş,Beylikdüzü,"11,000"
2 + 1,100,85,Yüksek Giriş,Sıfır Bina,Kombi,4,Eşyalı Değil,Boş,Bakırköy,"37,000"
